time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T,H
0.1,1972.75,746.5,1410.625,1665.875,1769.125,2429.625,249.875,1396.625,1885.625,1492.25,35.96,42.22
0.2,1972.75,746.5,1410.625,1666.5,1769.375,2429.75,250,1397.5,1886.25,1493.125,35.96,42.19
0.3,1972.875,746.625,1410.625,1667,1769.625,2429.875,249.875,1398.375,1886.875,1494.125,35.96,42.19
0.4,1973,746.625,1410.625,1667.625,1769.875,2430,250,1399.25,1887.5,1495,35.95,42.22
0.5,1973.125,746.5,1410.625,1668.25,1770,2430,249.875,1400.125,1888.125,1495.875,35.99,42.21
0.6,1973.25,746.625,1410.625,1668.875,1770.25,2430.25,250.125,1401,1888.75,1496.875,35.97,42.27
0.7,1973.25,746.5,1410.75,1669.5,1770.5,2430.25,250.125,1401.875,1889.25,1497.875,35.96,42.25
0.8,1973.375,746.5,1410.625,1670.125,1770.625,2430.375,250,1402.625,1889.875,1498.75,35.97,42.27
0.9,1973.5,746.5,1410.75,1670.875,1770.875,2430.5,250,1403.5,1890.375,1499.75,35.97,42.25
1.0,1973.5,746.5,1410.625,1671.5,1771,2430.5,249.875,1404.375,1891,1500.5,35.96,42.24
1.1,1973.625,746.5,1410.75,1672.125,1771.125,2430.625,250,1405.25,1891.5,1501.5,35.96,42.28
1.2,1973.75,746.625,1410.625,1672.75,1771.25,2430.625,249.875,1406.125,1892,1502.375,35.96,42.28
1.3,1973.875,746.625,1410.625,1673.5,1771.375,2430.75,249.875,1407,1892.625,1503.25,35.99,42.27
1.4,1974,746.625,1410.625,1674.125,1771.625,2430.875,249.875,1407.875,1893.125,1504.125,35.95,42.32
1.5,1974.125,746.625,1410.75,1674.75,1771.625,2430.875,249.875,1408.625,1893.625,1505,36,42.27
1.6,1974.25,746.5,1410.75,1675.5,1771.75,2430.875,249.75,1409.5,1894.125,1505.875,35.97,42.27
1.7,1974.25,746.625,1410.75,1676.125,1771.875,2431,249.75,1410.375,1894.625,1506.625,35.96,42.24
1.8,1974.375,746.625,1410.75,1676.75,1772,2430.875,249.75,1411.125,1895.25,1507.375,35.97,42.23
1.9,1974.5,746.5,1410.75,1677.375,1772,2431,249.875,1412,1895.625,1508.25,35.97,42.31
2.0,1974.625,746.625,1410.75,1678,1772.125,2431,249.875,1412.875,1896.125,1509,35.96,42.27
2.1,1974.75,746.625,1410.75,1678.75,1772.25,2431,249.875,1413.5,1896.625,1509.75,35.96,42.28
2.2,1974.875,746.625,1410.75,1679.375,1772.25,2431,249.875,1414.375,1897,1510.5,35.99,42.33
2.3,1975,746.625,1410.75,1680,1772.375,2431,250,1415.125,1897.5,1511.25,35.97,42.25
2.4,1975.125,746.625,1410.75,1680.625,1772.375,2431,250.125,1415.875,1897.875,1511.875,35.97,42.24
2.5,1975.125,746.625,1410.625,1681.25,1772.375,2431,250,1416.625,1898.25,1512.625,35.97,42.29
2.6,1975.375,746.75,1410.75,1681.875,1772.5,2431,250,1417.375,1898.625,1513.25,35.99,42.27
2.7,1975.375,746.75,1410.75,1682.375,1772.625,2431.125,250,1418,1899,1513.75,35.99,42.27
2.8,1975.5,746.75,1410.75,1683.125,1772.625,2431,249.875,1418.875,1899.375,1514.375,35.97,42.23
2.9,1975.625,746.75,1410.75,1683.625,1772.625,2431.125,249.875,1419.5,1899.75,1515.125,35.97,42.21
3.0,1975.75,746.75,1410.75,1684.25,1772.625,2431,249.875,1420.125,1900.125,1515.625,35.97,42.24
3.1,1975.875,746.75,1410.75,1684.875,1772.625,2431,249.75,1420.75,1900.5,1516.125,35.97,42.27
3.2,1976,746.75,1410.75,1685.375,1772.75,2430.875,249.75,1421.5,1900.875,1516.75,35.99,42.29
3.3,1976.125,746.75,1410.75,1686,1772.75,2430.875,249.875,1422.125,1901.125,1517.25,36.02,42.3
3.4,1976.25,746.875,1410.75,1686.5,1772.625,2430.875,249.875,1422.75,1901.375,1517.75,35.97,42.23
3.5,1976.375,746.875,1410.75,1687,1772.625,2430.75,249.875,1423.25,1901.75,1518.25,36,42.21
3.6,1976.375,746.75,1410.75,1687.5,1772.625,2430.75,249.875,1423.875,1902.125,1518.75,36,42.26
3.7,1976.5,746.75,1410.75,1688,1772.625,2430.75,249.75,1424.375,1902.375,1519.25,35.96,42.27
3.8,1976.625,746.875,1410.75,1688.625,1772.625,2430.75,249.75,1424.875,1902.75,1519.625,35.97,42.29
3.9,1976.625,746.75,1410.75,1689.125,1772.625,2430.75,249.875,1425.5,1903,1520.125,35.99,42.23
4.0,1976.75,746.875,1410.75,1689.5,1772.625,2430.625,249.875,1426,1903.25,1520.5,35.99,42.2
4.1,1976.875,746.875,1410.75,1690,1772.625,2430.625,249.75,1426.5,1903.5,1521,36,42.24
4.2,1977,746.875,1410.75,1690.5,1772.5,2430.625,249.875,1427,1903.75,1521.25,35.97,42.2
4.3,1977.125,746.875,1410.75,1690.875,1772.5,2430.625,249.875,1427.5,1904,1521.625,35.99,42.17
4.4,1977.125,746.875,1410.75,1691.375,1772.5,2430.5,249.75,1428,1904.25,1522,35.96,42.17
4.5,1977.25,746.875,1410.625,1691.875,1772.375,2430.5,249.75,1428.375,1904.5,1522.375,36,42.19
4.6,1977.375,746.875,1410.75,1692.25,1772.375,2430.5,249.875,1428.75,1904.75,1522.625,36,42.24
4.7,1977.5,747,1410.625,1692.625,1772.25,2430.375,249.875,1429.25,1904.875,1523,36,42.2
4.8,1977.5,747,1410.75,1693,1772.25,2430.5,250,1429.625,1905.125,1523.25,35.97,42.2
4.9,1977.625,747,1410.75,1693.375,1772.25,2430.375,249.875,1430,1905.25,1523.5,35.99,42.2
5.0,1977.75,747,1410.625,1693.875,1772.125,2430.375,249.75,1430.375,1905.375,1523.625,35.99,42.17
5.1,1977.75,747,1410.75,1694.125,1772.125,2430.375,249.875,1430.75,1905.5,1523.875,36,42.23
5.2,1977.875,746.875,1410.75,1694.5,1772,2430.375,249.75,1431.125,1905.75,1524.125,36,42.2
5.3,1978,747,1410.75,1694.875,1772,2430.375,249.75,1431.5,1905.875,1524.375,35.99,42.17
5.4,1978,747,1410.75,1695.25,1771.875,2430.25,249.875,1431.75,1906,1524.5,36,42.19
5.5,1978.125,747,1410.625,1695.625,1771.875,2430.25,249.75,1432.125,1906.125,1524.75,36.02,42.17
5.6,1978.125,746.875,1410.625,1695.875,1771.75,2430.25,249.875,1432.5,1906.375,1524.875,36,42.17
5.7,1978.25,746.875,1410.75,1696.125,1771.625,2430.125,249.625,1432.75,1906.5,1525,35.99,42.11
5.8,1978.25,747,1410.75,1696.5,1771.625,2430.125,249.75,1433,1906.625,1525.25,35.99,42.2
5.9,1978.375,747,1410.625,1696.75,1771.625,2430.125,249.625,1433.25,1906.75,1525.375,36.02,42.17
6.0,1978.5,747,1410.75,1697,1771.5,2430,249.75,1433.625,1906.75,1525.5,36,42.14
6.1,1978.5,747,1410.75,1697.25,1771.375,2430,249.625,1433.875,1907,1525.625,35.99,42.17
6.2,1978.625,747,1410.625,1697.625,1771.375,2430,249.75,1434,1907.125,1525.75,35.99,42.14
6.3,1978.75,747,1410.75,1697.875,1771.25,2429.875,249.75,1434.25,1907.125,1525.875,35.99,42.21
6.4,1978.75,747,1410.625,1698,1771.25,2429.875,249.625,1434.5,1907.25,1525.875,36.02,42.15
6.5,1978.75,747,1410.75,1698.375,1771.125,2429.875,249.75,1434.75,1907.375,1526,35.99,42.1
6.6,1978.875,747,1410.625,1698.5,1771,2429.75,249.75,1435,1907.5,1526.125,36,42.15
6.7,1979,747,1410.625,1698.75,1771,2429.75,249.625,1435.25,1907.625,1526.125,35.99,42.12
6.8,1979,747,1410.625,1699,1771,2429.75,249.625,1435.375,1907.625,1526.25,36,42.13
6.9,1979.125,747,1410.625,1699.125,1770.875,2429.75,249.75,1435.625,1907.75,1526.375,36,42.13
7.0,1979.25,747.125,1410.625,1699.375,1770.75,2429.625,249.75,1435.75,1907.875,1526.375,36,42.13
7.1,1979.25,747.125,1410.625,1699.5,1770.75,2429.625,249.75,1435.875,1907.875,1526.375,35.97,42.06
7.2,1979.375,747.125,1410.625,1699.75,1770.625,2429.625,249.75,1436.125,1907.875,1526.5,35.99,42.11
7.3,1979.375,747.125,1410.625,1699.875,1770.625,2429.625,249.625,1436.25,1908,1526.5,35.96,42.11
7.4,1979.5,747.125,1410.625,1700,1770.5,2429.5,249.875,1436.375,1908.125,1526.5,35.99,42.15
7.5,1979.5,747.125,1410.5,1700.125,1770.375,2429.5,249.75,1436.5,1908.125,1526.5,35.97,42.15
7.6,1979.625,747.125,1410.625,1700.25,1770.375,2429.5,249.875,1436.625,1908.125,1526.5,35.99,42.12
7.7,1979.625,747.125,1410.625,1700.5,1770.375,2429.375,249.875,1436.75,1908.25,1526.5,35.99,42.11
7.8,1979.75,747.25,1410.625,1700.625,1770.25,2429.375,249.75,1436.875,1908.25,1526.5,36,42.08
7.9,1979.75,747.125,1410.5,1700.75,1770.125,2429.25,249.875,1437,1908.25,1526.5,35.99,42.08
8.0,1979.875,747.125,1410.625,1700.875,1770,2429.25,249.75,1437.125,1908.25,1526.5,35.99,42.12
8.1,1979.875,747.125,1410.625,1701,1770,2429.25,249.75,1437.375,1908.25,1526.375,35.99,42.1
8.2,1979.875,747.125,1410.625,1701.125,1769.875,2429.25,249.75,1437.375,1908.25,1526.375,36,42.11
8.3,1980,747.25,1410.625,1701.25,1769.875,2429.25,249.875,1437.5,1908.25,1526.25,35.97,42.12
8.4,1980,747.25,1410.5,1701.25,1769.875,2429.25,249.875,1437.625,1908.25,1526.25,35.97,42.06
8.5,1980.125,747.25,1410.5,1701.375,1769.75,2429.125,249.875,1437.625,1908.25,1526.125,35.99,42.07
8.6,1980.125,747.25,1410.5,1701.375,1769.625,2429.125,249.875,1437.75,1908.125,1526,35.99,42.03
8.7,1980.25,747.25,1410.5,1701.5,1769.625,2429.125,249.75,1437.875,1908.125,1525.875,35.97,42.03
8.8,1980.25,747.25,1410.5,1701.5,1769.5,2429.125,249.875,1437.875,1908.125,1525.75,35.99,42.01
8.9,1980.25,747.25,1410.5,1701.625,1769.5,2429.125,250,1438,1908,1525.625,35.96,42.04
9.0,1980.375,747.25,1410.625,1701.75,1769.375,2429.125,250,1438,1908,1525.5,35.97,42.06
9.1,1980.5,747.375,1410.5,1701.75,1769.375,2429.125,249.75,1438.125,1908,1525.375,35.95,41.97
9.2,1980.5,747.25,1410.5,1701.75,1769.25,2429,249.75,1438.125,1908,1525.25,35.99,42.02
9.3,1980.5,747.375,1410.5,1701.75,1769.25,2429,249.75,1438.125,1907.875,1525.25,36,42.05
9.4,1980.5,747.25,1410.5,1701.875,1769.125,2428.875,249.75,1438.125,1907.875,1525.125,35.96,42.04
9.5,1980.625,747.25,1410.5,1701.875,1769.125,2429,249.75,1438.25,1907.875,1525,35.97,42
9.6,1980.625,747.25,1410.5,1701.875,1769.125,2428.875,249.875,1438.25,1907.875,1524.875,35.97,42.02
9.7,1980.75,747.25,1410.5,1701.875,1769,2428.875,249.875,1438.375,1907.875,1524.875,35.97,41.99
9.8,1980.75,747.25,1410.5,1701.875,1768.875,2428.75,249.875,1438.25,1907.875,1524.75,35.96,42.02
9.9,1980.75,747.25,1410.5,1701.875,1768.875,2428.75,249.75,1438.375,1907.875,1524.625,35.99,42.02
10.0,1980.875,747.375,1410.375,1701.875,1768.875,2428.75,249.875,1438.375,1907.875,1524.5,35.99,42.03
10.1,1980.875,747.375,1410.25,1701.75,1768.75,2428.75,249.875,1438.375,1908,1524.625,35.97,42.03
10.2,1980.875,747.375,1410.25,1701.75,1768.75,2428.625,249.875,1438.375,1908.125,1524.625,35.97,42.06
10.3,1981,747.375,1410.125,1701.625,1768.625,2428.625,250,1438.25,1908.375,1524.75,35.99,42.01
10.4,1981,747.5,1410,1701.5,1768.625,2428.625,249.75,1438.25,1908.5,1524.875,35.99,42.01
10.5,1981.125,747.375,1409.875,1701.375,1768.625,2428.625,249.875,1438.25,1908.75,1525,35.99,42.05
10.6,1981.125,747.5,1409.875,1701.25,1768.625,2428.75,249.875,1438.125,1908.875,1525.25,36,42.04
10.7,1981.25,747.5,1409.75,1701.25,1768.625,2428.75,249.875,1438.125,1909.125,1526,35.97,42
10.8,1981.375,747.5,1409.75,1701.125,1768.625,2428.875,249.75,1438.125,1909.25,1527.875,35.97,41.99
10.9,1981.5,747.625,1409.625,1701.125,1769,2429.125,250,1438.125,1909.5,1531.875,36,41.99
11.0,1981.75,747.625,1409.625,1701.25,1769.875,2429.625,250,1438.25,1909.75,1539.125,35.96,41.99
11.1,1982.25,747.625,1409.625,1701.75,1771.5,2430.75,250.125,1438.5,1910.25,1550.375,35.97,41.99
11.2,1982.875,747.625,1409.5,1702.875,1774.5,2432.75,250.125,1439.375,1911.25,1566.25,35.99,41.99
11.3,1983.875,747.625,1409.5,1705.25,1778.75,2436,250.25,1441.375,1913.375,1587.375,35.97,42.03
11.4,1985.375,747.75,1409.5,1709,1784,2440.25,250.5,1445,1916.75,1614.5,35.97,42.05
11.5,1987.375,747.75,1409.5,1715,1790.75,2446,250.75,1451.5,1922.625,1650,35.99,42.02
