gradmaxF1,gradmaxF2,gradmaxF3,gradmaxF4,gradmaxF5,gradmaxF6,gradmaxF7,gradmaxF8,gradmaxF9,gradmaxF10,Zat
19.125,1.5,0.12500000000000022,64.0,27.125,18.5,0.625,108.0,56.5,106.25,A
27.5,2.5,0.25,84.5,41.75,27.375,0.625,144.125,71.25,126.625,A
11.125,0.75,0.12500000000000044,41.625,13.875,10.0,0.375,67.25,33.625,73.75,A
14.5,1.0,0.12500000000000022,53.625,20.125,13.875,0.5,89.375,45.25,89.75,A
21.375,1.75,0.12500000000000006,70.625,30.75,21.75,0.5,117.875,58.375,107.75,A
23.375,2.0,0.12500000000000044,76.0,35.0,23.75,0.5,131.875,65.0,116.75,A
12.375,0.875,0.12500000000000006,47.5,17.125,11.75,0.375,81.25000000000011,36.75,78.625,A
13.75,1.0,0.1250000000000001,51.5,18.75,13.125,0.375,87.5,40.625,83.5,A
11.375,0.75,0.125,41.25,13.75,9.75,0.375,68.0,31.875,68.25,A
10.125,0.875,0.12500000000000008,37.0,11.375,8.25,0.25000000000000067,62.375,29.0,64.375,A
10.75,0.75,0.12500000000000067,40.375,13.5,9.625,0.375,65.875,30.625,69.375,A
18.25,1.375,0.12500000000000006,59.125,23.625,15.75,0.375,100.125,47.25,100.875,A
11.25,0.8750000000000071,0.1250000000000001,41.25,12.875,9.375000000000014,0.375,69.12500000000011,31.625,69.625,A
9.875,0.625,0.12500000000000022,36.5,10.875,8.000000000000014,0.375,60.625,28.625,62.875,A
9.875,0.75,0.1250000000000001,37.0,11.125,8.25,0.375,62.125,28.875,63.5,A
12.25,0.875,0.1250000000000001,43.5,13.750000000000028,10.375,0.375,72.75,34.25,75.875,A
11.375,0.875,0.12500000000000044,40.5,13.25,9.375,0.375,68.62500000000011,31.375,69.625,A
10.0,0.75,0.12500000000000022,38.5,11.25,8.375,0.375,63.875000000000114,29.5,65.875,A
12.0,0.875,0.12500000000000044,41.25,13.625,10.125,0.375,68.5,32.25,72.25,A
11.25,0.875,0.125,41.5,12.625,9.75,0.375,66.625,32.0,72.5,A
15.125,1.25,0.12500000000000044,53.25,17.625,12.875,0.5,87.75,41.0,91.875,A
8.25,0.625,0.1250000000000001,31.875,8.75,6.625,0.375,52.374999999999886,24.25,57.625,A
14.75,1.125,0.12500000000000006,51.75,16.875,12.25,0.5,84.87500000000011,40.5,91.0,A
21.25,1.875,0.12500000000000044,68.625,26.25,18.5,0.5,113.62500000000011,56.375,120.125,A
16.25,1.25,0.12500000000000022,56.0,19.875,14.125,0.5,94.125,43.5,95.75,A
10.375,0.75,0.12500000000000044,38.5,11.625,8.5,0.375,63.750000000000114,29.5,67.625,A
16.25,1.25,0.12500000000000006,55.375,19.125,13.5,0.5,89.37500000000011,43.875,97.25,A
25.875,2.375,0.25,79.75,33.75,22.49999999999997,0.625,134.5,67.625,132.1249999999999,A
15.625,1.125,0.12500000000000006,52.375,18.125,12.375,0.5,88.875,41.125,88.75,A
13.375,1.0,0.12500000000000006,46.25,14.75,10.25,0.4999999999999991,77.25,36.625,78.375,A
12.75,0.8750000000000071,0.12500000000000022,45.0,14.25,9.625,0.5,75.75,35.125,77.625,A
15.625,1.125,0.1250000000000001,53.5,19.125,13.375,0.625,90.0,42.75,94.125,A
19.875,1.625,0.12500000000000044,64.375,25.25,17.125,0.75,112.0,54.875,113.625,A
12.25,1.0,0.12500000000000044,43.625,14.875,10.125,0.5,75.125,35.875,81.0,A
13.0,1.0,0.1250000000000001,47.375,16.375,11.25,0.5,79.62500000000011,37.375,84.375,A
26.375,2.25,0.12500000000000006,84.75,38.625,26.375,0.5,143.875,72.25000000000006,129.5,B
26.25,2.375,0.25,87.75,39.375,27.125,0.625,146.7500000000001,73.125,133.375,B
16.0,1.25,0.12500000000000006,58.0,22.25,15.375,0.375,99.87499999999989,47.875,95.75,B
15.75,1.125,0.12500000000000006,56.625,21.25,14.375,0.5,97.0,46.0,93.25,B
27.125,3.0,0.2500000000000002,69.625,40.5,24.25,0.625,139.75,64.0,111.625,B
19.5,1.5,0.1250000000000001,65.5,29.375,18.5,0.5,110.375,49.75,97.625,B
15.625,1.25,0.2500000000000001,49.625,20.75,14.0,0.375,93.50000000000011,43.125,91.75,B
17.0,1.25,0.25,59.5,22.75,15.375,0.5,102.25,48.875,100.875,B
17.875,1.625,0.12500000000000044,56.75,23.625,15.5,0.5,98.0,46.125,94.375,B
12.625,1.0,0.12500000000000022,36.875,16.125,11.625,0.5,68.375,20.75,77.375,B
17.0,1.375,0.12500000000000022,50.25,22.25,16.375,0.625,92.125,31.875,100.125,B
23.0,2.375,0.25,60.375,35.0,22.0,0.75,116.875,42.25,103.875,B
13.5,1.125,0.1250000000000001,42.74999999999994,16.5,12.0,0.5,77.125,29.25,87.5,B
12.375,1.0,0.25,39.125,14.625,10.625,0.5,70.0,27.375,73.75,B
15.0,1.25,0.12500000000000006,47.25,18.375,13.0,0.5000000000000004,83.75,34.625,90.5,B
20.625,1.875,0.25,64.0,26.25,18.5,0.75,110.25,46.875,110.25,B
15.625,1.25,0.125,50.375,19.0,13.375,0.5,88.0,36.875,88.375,B
9.25,0.625,0.12500000000000044,33.25,10.125,7.875,0.375,55.125,26.75,60.25,B
16.625,1.25,0.12500000000000006,55.625,21.5,14.75,0.375,92.375,44.625,92.625,B
19.75,1.5,0.12500000000000006,64.125,26.875,18.25,0.5,106.25,50.125,99.5,B
26.125,2.375,0.1250000000000001,78.75,34.125,23.375,0.625,137.375,62.625,133.5,B
14.625,1.125,0.12500000000000006,50.5,17.0,11.875,0.5,84.99999999999989,39.5,89.5,B
17.375,1.25,0.12500000000000006,59.25,21.250000000000057,14.875,0.6249999999999998,101.125,46.625,100.25,B
22.499999999999943,1.875,0.12500000000000006,70.875,29.375,19.875,0.6250000000000002,120.49999999999989,58.5,111.625,B
28.625,2.875,0.12500000000000067,86.375,37.0,25.5,0.625,145.25,70.125,140.75,B
20.874999999999943,1.75,0.12500000000000022,63.875,26.625,17.750000000000057,0.625,108.00000000000011,50.75,103.125,B
25.625,2.25,0.25,78.625,34.625,23.625,0.625,131.25,64.75,124.375,B
23.625,2.125,0.12500000000000006,74.375,31.25,20.625,0.625,125.37500000000011,59.75,114.625,B
21.375,1.75,0.12500000000000006,69.0,27.75,18.5,0.625,115.25,55.5,111.75,B
16.375,1.25,0.12500000000000044,55.25,19.75,13.5,0.5,94.25,43.625,91.25,B
18.5,1.5,0.12500000000000006,58.125,24.25,16.0,0.625,101.625,49.25,110.5,B
23.375,2.0,0.12500000000000044,75.125,32.375,21.12500000000003,0.5000000000000001,126.25,65.87499999999994,130.625,B
22.0,2.0,0.125,66.125,30.375,19.625,0.625,116.25,56.25,117.75,B
23.25,2.125,0.25,77.125,32.375,22.125,0.875,125.25000000000011,63.5,125.99999999999989,B
21.5,1.875,0.12500000000000044,68.625,28.875,18.875,0.5,116.5,55.375,112.25,B
